Branch,CGPA,AllottedStationName,Stipend,AllotedSemester1,AllotedSemester2
B3A7,8.39,"Flipkart (Software Development),Bengaluru",100000,0,1
B1AB,8.39,Critical Path Technologies Private Limited (“SalarySe) - Non Tech,N/A,1,1
AA,8.38,Wayfair Global Technology Pvt. Ltd-SCRT,100000,0,1
A3,8.38,Walmart,100000,0,1
B3A7,8.38,Walmart,100000,0,1
AA,8.38,Texas Instruments - Embedded Software,60000,0,1
A7,8.38,QUALCOMM,45000,0,1
A7,8.38,"Arista Networks India Private Limited, Pune",75000,0,1
A7,8.37,"Guardian Life Insurance Company, Chennai",100000,0,1
AA,8.37,"Aptiv ,Bengaluru",50000,0,1
A4,8.366,CSIR-NAL,N/A,1,0
A3,8.365,"Cadence Design Systems,Bengaluru",N/A,1,0
A7,8.36,Walmart,100000,0,1
B4A7,8.36,"Oracle, Bangalore",100000,1,1
B3A7,8.36,"Morgan Stanley - FID Research,Mumbai",125000,0,1
A7,8.36,Meesho,35000,0,1
A7,8.36,"Flipkart (Software Development),Bengaluru",100000,0,1
A7,8.36,Dreamplug Technologies - DS,N/A,0,1
A4,8.358,"KPMG,Chennai",30000,1,0
A8,8.352,"UBER - Data Analytics,Hyderabad/Bengaluru",N/A,1,0
A1,7.07,JPMC CIB R&A – Banking,75000,0,1
